channel #;FEE address;group;Cell;coordinate X in mm;coordinate Y in mm;coordinate Z in mm;HV board;HV board channel;PMT S/N;Module Type;FEE module;PM channel;DIM position;FEE ID;Link ID;EP ID;CRU ID;orientation;Signal channel;Detector quarter;Long signal cable #;Signal PP line #;Signal PP column #;I-V curve offset (a);I-V curve slope (b);Long HV cable #;Splitter box #;Splitter box output;Local attenuator (dB);Splitter box output intensity;Patch-cord label (C34->PM)
0;PMA5/Ch02;A-side Inner ring;A-B3;59.75;-13.25;3400;1;7;2180;PM;A5;2;26;64165;5;0;1106;2;FTA-B3-4;FTA-I;32;3;14;-4.47;0.21;8;OC-205;38;2;1.26;A32/3.14/5 02
1;PMA5/Ch04;A-side Inner ring;A-B3;86.25;-13.25;3400;1;7;2180;PM;A5;4;66;64165;5;0;1106;2;FTA-B3-1;FTA-I;29;3;13;-4.47;0.21;8;OC-205;18;2;0.71;A29/3.13/5 04
2;PMA5/Ch03;A-side Inner ring;A-B3;86.25;13.25;3400;1;7;2180;PM;A5;3;46;64165;5;0;1106;2;FTA-B3-2;FTA-I;30;1;11;-4.47;0.21;8;OC-205;35;0;0.98;A30/1.11/5 03
3;PMA5/Ch01;A-side Inner ring;A-B3;59.75;13.25;3400;1;7;2180;PM;A5;1;6;64165;5;0;1106;2;FTA-B3-3;FTA-I;31;2;13;-4.47;0.21;8;OC-205;14;3;1.79;A31/2.13/5 01
4;PMA6/Ch03;A-side Inner ring;A-B2;74.25;47.75;3400;1;6;2185;PM;A6;3;47;64166;6;0;1106;3;FTA-B2-2;FTA-I;26;2;11;-5.71;0.21;7;OC-205;60;0;0.9;A26/2.11/6 03
5;PMA6/Ch01;A-side Inner ring;A-B2;47.75;47.75;3400;1;6;2185;PM;A6;1;7;64166;6;0;1106;3;FTA-B2-1;FTA-I;25;1;12;-5.71;0.21;7;OC-205;57;2;1.35;A25/1.12/6 01
6;PMA6/Ch04;A-side Inner ring;A-B2;74.25;74.25;3400;1;6;2185;PM;A6;4;67;64166;6;0;1106;3;FTA-B2-3;FTA-I;27;1;13;-5.71;0.21;7;OC-205;6;0;0.9;A27/1.13/6 04
7;PMA6/Ch02;A-side Inner ring;A-B2;47.75;74.25;3400;1;6;2185;PM;A6;2;27;64166;6;0;1106;3;FTA-B2-4;FTA-I;28;4;14;-5.71;0.21;7;OC-205;42;0;0.9;A28/4.14/6 02
8;PMA7/Ch02;A-side Inner ring;A-C2;13.25;60.75;3400;1;11;2163;PM;A7;2;28;64167;7;0;1106;2;FTA-C2-1;FTA-I;45;4;15;-9.4;0.23;12;OC-205;28;5;1.56;A45/4.15/7 02
9;PMA7/Ch04;A-side Inner ring;A-C2;13.25;87.25;3400;1;11;2163;PM;A7;4;68;64167;7;0;1106;2;FTA-C2-2;FTA-I;46;2;14;-9.4;0.23;12;OC-205;5;0;0.74;A46/2.14/7 04
10;PMA7/Ch03;A-side Inner ring;A-C2;-13.25;87.25;3400;1;11;2163;PM;A7;3;48;64167;7;0;1106;2;FTA-C2-3;FTA-I;47;2;15;-9.4;0.23;12;OC-205;54;0;0.82;A47/2.15/7 03
11;PMA7/Ch01;A-side Inner ring;A-C2;-13.25;60.75;3400;1;11;2163;PM;A7;1;8;64167;7;0;1106;2;FTA-C2-4;FTA-I;48;4;17;-9.4;0.23;12;OC-205;64;2;1.35;A48/4.17/7 01
12;PMA0/Ch03;A-side Inner ring;A-D2;-47.75;74.25;3400;0;3;2186;PM;A0;3;41;64160;0;0;1106;2;FTA-D2-2;FTA-O;62;4;20;-3.64;0.2;16;OC-206;36;0;0.69;A62/4.20/0 03
13;PMA0/Ch01;A-side Inner ring;A-D2;-47.75;47.75;3400;0;3;2186;PM;A0;1;1;64160;0;0;1106;2;FTA-D2-1;FTA-O;61;2;19;-3.64;0.2;16;OC-206;52;6;1.08;A61/2.19/0 01
14;PMA0/Ch04;A-side Inner ring;A-D2;-74.25;74.25;3400;0;3;2186;PM;A0;4;61;64160;0;0;1106;2;FTA-D2-3;FTA-O;63;5;20;-3.64;0.2;16;OC-206;27;2;0.8;A63/5.20/0 04
15;PMA0/Ch02;A-side Inner ring;A-D2;-74.25;47.75;3400;0;3;2186;PM;A0;2;21;64160;0;0;1106;2;FTA-D2-4;FTA-O;64;3;19;-3.64;0.2;16;OC-206;38;7;1.67;A64/3.19/0 02
16;PMA1/Ch02;A-side Inner ring;A-D3;-59.75;13.25;3400;0;4;2184;PM;A1;2;22;64161;1;0;1106;2;FTA-D3-2;FTA-O;66;3;5;-7.76;0.23;17;OC-206;59;0;0.53;A66/3.5/1 02
17;PMA1/Ch04;A-side Inner ring;A-D3;-86.25;13.25;3400;0;4;2184;PM;A1;4;62;64161;1;0;1106;2;FTA-D3-3;FTA-O;67;5;5;-7.76;0.23;17;OC-206;61;0;0.55;A67/5.5/1 04
18;PMA1/Ch03;A-side Inner ring;A-D3;-86.25;-13.25;3400;0;4;2184;PM;A1;3;42;64161;1;0;1106;2;FTA-D3-4;FTA-O;68;3;4;-7.76;0.23;17;OC-206;19;2;0.96;A68/3.4/1 03
19;PMA1/Ch01;A-side Inner ring;A-D3;-59.75;-13.25;3400;0;4;2184;PM;A1;1;2;64161;1;0;1106;2;FTA-D3-1;FTA-O;65;4;4;-7.76;0.23;17;OC-206;3;8;1.56;A65/4.4/1 01
20;PMA2/Ch03;A-side Inner ring;A-D4;-74.25;-47.75;3400;0;5;2164;PM;A2;3;43;64162;2;0;1106;1;FTA-D4-2;FTA-O;70;2;5;-5.22;0.21;18;OC-206;40;7;3.48;A70/2.5/2 03
21;PMA2/Ch01;A-side Inner ring;A-D4;-47.75;-47.75;3400;0;5;2164;PM;A2;1;3;64162;2;0;1106;1;FTA-D4-1;FTA-O;69;4;5;-5.22;0.21;18;OC-206;28;6;1.1;A69/4.5/2 01
22;PMA2/Ch04;A-side Inner ring;A-D4;-74.25;-74.25;3400;0;5;2164;PM;A2;4;63;64162;2;0;1106;1;FTA-D4-3;FTA-O;71;2;4;-5.22;0.21;18;OC-206;9;0;0.54;A71/2.4/2 04
23;PMA2/Ch02;A-side Inner ring;A-D4;-47.75;-74.25;3400;0;5;2164;PM;A2;2;23;64162;2;0;1106;1;FTA-D4-4;FTA-O;72;1;4;-5.22;0.21;18;OC-206;44;0;0.62;A72/1.4/2 02
24;PMA3/Ch02;A-side Inner ring;A-C4;-13.25;-60.75;3400;0;0;2132;PM;A3;2;24;64163;3;0;1106;1;FTA-C4-2;FTA-O;50;3;20;-5.12;0.21;13;OC-206;63;6;1.08;A50/3.20/3 02
25;PMA3/Ch04;A-side Inner ring;A-C4;-13.25;-87.25;3400;0;0;2132;PM;A3;4;64;64163;3;0;1106;1;FTA-C4-3;FTA-O;51;2;20;-5.12;0.21;13;OC-206;21;3;0.8;A51/2.20/3 04
26;PMA3/Ch03;A-side Inner ring;A-C4;13.25;-87.25;3400;0;0;2132;PM;A3;3;44;64163;3;0;1106;1;FTA-C4-4;FTA-O;52;1;19;-5.12;0.21;13;OC-206;43;0;0.55;A52/1.19/3 03
27;PMA3/Ch01;A-side Inner ring;A-C4;13.25;-60.75;3400;0;0;2132;PM;A3;1;4;64163;3;0;1106;1;FTA-C4-1;FTA-O;49;1;17;-5.12;0.21;13;OC-206;39;6;1.26;A49/1.17/3 01
28;PMA4/Ch03;A-side Inner ring;A-B4;47.75;-74.25;3400;1;8;2183;PM;A4;3;45;64164;4;0;1106;4;FTA-B4-2;FTA-I;34;3;17;-6.65;0.22;9;OC-205;59;3;1.26;A34/3.17/4 03
29;PMA4/Ch01;A-side Inner ring;A-B4;47.75;-47.75;3400;1;8;2183;PM;A4;1;5;64164;4;0;1106;4;FTA-B4-1;FTA-I;33;1;16;-6.65;0.22;9;OC-205;45;1;1.15;A33/1.16/4 01
30;PMA4/Ch04;A-side Inner ring;A-B4;74.25;-74.25;3400;1;8;2183;PM;A4;4;65;64164;4;0;1106;4;FTA-B4-3;FTA-I;35;5;15;-6.65;0.22;9;OC-205;21;3;1.35;A35/5.15/4 04
31;PMA4/Ch02;A-side Inner ring;A-B4;74.25;-47.75;3400;1;8;2183;PM;A4;2;25;64164;4;0;1106;4;FTA-B4-4;FTA-I;36;4;16;-6.65;0.22;9;OC-205;16;2;0.71;A36/4.16/4 02
32;PMA5/Ch10;A-side Outer ring;A-A3;120.75;-13.25;3400;1;2;2174;PM;A5;10;186;64165;5;0;1106;4;FTA-A3-2;FTA-I;10;2;1;-4.23;0.21;3;OC-205;56;0;0.73;A10/2.1/5 10
33;PMA5/Ch12;A-side Outer ring;A-A3;147.25;-13.25;3400;1;2;2174;PM;A5;12;226;64165;5;0;1106;4;FTA-A3-3;FTA-I;11;3;3;-4.23;0.21;3;OC-205;9;3;0.76;A11/3.3/5 12
34;PMA5/Ch11;A-side Outer ring;A-A3;147.25;13.25;3400;1;2;2174;PM;A5;11;206;64165;5;0;1106;4;FTA-A3-4;FTA-I;12;1;2;-4.23;0.21;3;OC-205;52;2;1.13;A12/1.2/5 11
35;PMA5/Ch09;A-side Outer ring;A-A3;120.75;13.25;3400;1;2;2174;PM;A5;9;166;64165;5;0;1106;4;FTA-A3-1;FTA-I;9;2;2;-4.23;0.21;3;OC-205;48;4;3.03;A9/2.2/5 09
36;PMA6/Ch07;A-side Outer ring;A-A2;135.25;47.75;3400;1;1;2181;PM;A6;7;127;64166;6;0;1106;3;FTA-A2-2;FTA-I;6;5;1;-7.22;0.22;2;OC-205;24;0;0.74;A6/5.1/6 07
37;PMA6/Ch05;A-side Outer ring;A-A2;108.75;47.75;3400;1;1;2181;PM;A6;5;87;64166;6;0;1106;3;FTA-A2-1;FTA-I;5;3;2;-7.22;0.22;2;OC-205;63;5;2;A5/3.2/6 05
38;PMA6/Ch08;A-side Outer ring;A-A2;135.25;74.25;3400;1;1;2181;PM;A6;8;147;64166;6;0;1106;3;FTA-A2-3;FTA-I;7;5;2;-7.22;0.22;2;OC-205;50;0;0.76;A7/5.2/6 08
39;PMA6/Ch06;A-side Outer ring;A-A2;108.75;74.25;3400;1;1;2181;PM;A6;6;107;64166;6;0;1106;3;FTA-A2-4;FTA-I;8;4;2;-7.22;0.22;2;OC-205;53;4;1.56;A8/4.2/6 06
40;PMA6/Ch11;A-side Outer ring;A-A1;135.25;108.75;3400;1;0;2173;PM;A6;11;207;64166;6;0;1106;3;FTA-A1-2;FTA-I;2;5;4;-3.52;0.2;1;OC-205;27;1;0.87;A2/5.4/6 11
41;PMA6/Ch09;A-side Outer ring;A-A1;108.75;108.75;3400;1;0;2173;PM;A6;9;167;64166;6;0;1106;3;FTA-A1-1;FTA-I;1;5;3;-3.52;0.2;1;OC-205;41;3;1.32;A1/5.3/6 09
42;PMA6/Ch12;A-side Outer ring;A-A1;135.25;135.25;3400;1;0;2173;PM;A6;12;227;64166;6;0;1106;3;FTA-A1-3;FTA-I;3;4;1;-3.52;0.2;1;OC-205;36;0;0.9;A3/4.1/6 12
43;PMA6/Ch10;A-side Outer ring;A-A1;108.75;135.25;3400;1;0;2173;PM;A6;10;187;64166;6;0;1106;3;FTA-A1-4;FTA-I;4;4;3;-3.52;0.2;1;OC-205;7;1;1.05;A4/4.3/6 10
44;PMA7/Ch06;A-side Outer ring;A-B1;74.25;108.75;3400;1;5;2182;PM;A7;6;108;64167;7;0;1106;2;FTA-B1-1;FTA-I;21;3;11;-3.8;0.2;6;OC-205;13;6;2.47;A21/3.11/7 06
45;PMA7/Ch08;A-side Outer ring;A-B1;74.25;135.25;3400;1;5;2182;PM;A7;8;148;64167;7;0;1106;2;FTA-B1-2;FTA-I;22;3;12;-3.8;0.2;6;OC-205;49;0;0.8;A22/3.12/7 08
46;PMA7/Ch05;A-side Outer ring;A-B1;47.75;108.75;3400;1;5;2182;PM;A7;5;88;64167;7;0;1106;2;FTA-B1-4;FTA-I;24;4;13;-3.8;0.2;6;OC-205;58;8;3.25;A24/4.13/7 05
47;PMA7/Ch07;A-side Outer ring;A-B1;47.75;135.25;3400;1;5;2182;PM;A7;7;128;64167;7;0;1106;2;FTA-B1-3;FTA-I;23;2;12;-3.8;0.2;6;OC-205;55;0;0.66;A23/2.12/7 07
48;PMA7/Ch10;A-side Outer ring;A-C1;13.25;121.75;3400;1;10;2187;PM;A7;10;188;64167;7;0;1106;4;FTA-C1-3;FTA-I;43;1;15;-3.13;0.2;11;OC-205;25;4;1.42;A43/1.15/7 10
49;PMA7/Ch12;A-side Outer ring;A-C1;13.25;148.25;3400;1;10;2187;PM;A7;12;228;64167;7;0;1106;4;FTA-C1-4;FTA-I;44;5;16;-3.13;0.2;11;OC-205;15;2;1.1;A44/5.16/7 12
50;PMA7/Ch11;A-side Outer ring;A-C1;-13.25;148.25;3400;1;10;2187;PM;A7;11;208;64167;7;0;1106;4;FTA-C1-1;FTA-I;41;5;17;-3.13;0.2;11;OC-205;19;0;0.68;A41/5.17/7 11
51;PMA7/Ch09;A-side Outer ring;A-C1;-13.25;121.75;3400;1;10;2187;PM;A7;9;168;64167;7;0;1106;4;FTA-C1-2;FTA-I;42;3;16;-3.13;0.2;11;OC-205;17;5;1.32;A42/3.16/7 09
52;PMA0/Ch07;A-side Outer ring;A-D1;-47.75;135.25;3400;0;2;2117;PM;A0;7;121;64160;0;0;1106;4;FTA-D1-4;FTA-O;60;3;18;-6.48;0.22;15;OC-206;23;1;0.54;A60/3.18/0 07
53;PMA0/Ch05;A-side Outer ring;A-D1;-47.75;108.75;3400;0;2;2117;PM;A0;5;81;64160;0;0;1106;4;FTA-D1-3;FTA-O;59;4;19;-6.48;0.22;15;OC-206;64;8;1.56;A59/4.19/0 05
54;PMA0/Ch08;A-side Outer ring;A-D1;-74.25;135.25;3400;0;2;2117;PM;A0;8;141;64160;0;0;1106;4;FTA-D1-1;FTA-O;57;5;18;-6.48;0.22;15;OC-206;57;2;0.58;A57/5.18/0 08
55;PMA0/Ch06;A-side Outer ring;A-D1;-74.25;108.75;3400;0;2;2117;PM;A0;6;101;64160;0;0;1106;4;FTA-D1-2;FTA-O;58;4;18;-6.48;0.22;15;OC-206;17;7;2.1;A58/4.18/0 06
56;PMA0/Ch11;A-side Outer ring;A-E1;-108.75;135.25;3400;0;7;2170;PM;A0;11;201;64160;0;0;1106;2;FTA-E1-2;FTA-O;78;5;6;-4.67;0.21;20;OC-206;60;4;0.94;A78/5.6/0 11
57;PMA0/Ch09;A-side Outer ring;A-E1;-108.75;108.75;3400;0;7;2170;PM;A0;9;161;64160;0;0;1106;2;FTA-E1-1;FTA-O;77;1;6;-4.67;0.21;20;OC-206;22;8;1.52;A77/1.6/0 09
58;PMA0/Ch12;A-side Outer ring;A-E1;-135.25;135.25;3400;0;7;2170;PM;A0;12;221;64160;0;0;1106;2;FTA-E1-3;FTA-O;79;1;5;-4.67;0.21;20;OC-206;62;2;0.68;A79/1.5/0 12
59;PMA0/Ch10;A-side Outer ring;A-E1;-135.25;108.75;3400;0;7;2170;PM;A0;10;181;64160;0;0;1106;2;FTA-E1-4;FTA-O;80;2;6;-4.67;0.21;20;OC-206;8;3;0.82;A80/2.6/0 10
60;PMA1/Ch06;A-side Outer ring;A-E2;-108.75;74.25;3400;0;8;2154;PM;A1;6;102;64161;1;0;1106;1;FTA-E2-1;FTA-O;81;5;8;-7.06;0.22;21;OC-206;25;3;0.84;A81/5.8/1 06
61;PMA1/Ch08;A-side Outer ring;A-E2;-135.25;74.25;3400;0;8;2154;PM;A1;8;142;64161;1;0;1106;1;FTA-E2-2;FTA-O;82;3;7;-7.06;0.22;21;OC-206;53;8;1.45;A82/3.7/1 08
62;PMA1/Ch05;A-side Outer ring;A-E2;-108.75;47.75;3400;0;8;2154;PM;A1;5;82;64161;1;0;1106;1;FTA-E2-4;FTA-O;84;4;8;-7.06;0.22;21;OC-206;50;0;0.53;A84/4.8/1 05
63;PMA1/Ch07;A-side Outer ring;A-E2;-135.25;47.75;3400;0;8;2154;PM;A1;7;122;64161;1;0;1106;1;FTA-E2-3;FTA-O;83;2;8;-7.06;0.22;21;OC-206;55;4;0.98;A83/2.8/1 07
64;PMA1/Ch10;A-side Outer ring;A-E3;-120.75;13.25;3400;0;9;2124;PM;A1;10;182;64161;1;0;1106;2;FTA-E3-2;FTA-O;86;1;8;-7.57;0.23;22;OC-206;2;4;0.92;A86/1.8/1 10
65;PMA1/Ch12;A-side Outer ring;A-E3;-147.25;13.25;3400;0;9;2124;PM;A1;12;222;64161;1;0;1106;2;FTA-E3-3;FTA-O;87;2;7;-7.57;0.23;22;OC-206;20;1;0.61;A87/2.7/1 12
66;PMA1/Ch11;A-side Outer ring;A-E3;-147.25;-13.25;3400;0;9;2124;PM;A1;11;202;64161;1;0;1106;2;FTA-E3-4;FTA-O;88;1;7;-7.57;0.23;22;OC-206;1;6;1.05;A88/1.7/1 11
67;PMA1/Ch09;A-side Outer ring;A-E3;-120.75;-13.25;3400;0;9;2124;PM;A1;9;162;64161;1;0;1106;2;FTA-E3-1;FTA-O;85;3;8;-7.57;0.23;22;OC-206;56;7;1.42;A85/3.8/1 09
68;PMA2/Ch07;A-side Outer ring;A-E4;-135.25;-47.75;3400;0;10;2135;PM;A2;7;123;64162;2;0;1106;2;FTA-E4-3;FTA-O;91;1;10;-8.88;0.23;23;OC-206;37;7;1.18;A91/1.10/2 07
69;PMA2/Ch05;A-side Outer ring;A-E4;-108.75;-47.75;3400;0;10;2135;PM;A2;5;83;64162;2;0;1106;2;FTA-E4-2;FTA-O;90;4;10;-8.88;0.23;23;OC-206;18;6;1.26;A90/4.10/2 05
70;PMA2/Ch08;A-side Outer ring;A-E4;-135.25;-74.25;3400;0;10;2135;PM;A2;8;143;64162;2;0;1106;2;FTA-E4-4;FTA-O;92;2;10;-8.88;0.23;23;OC-206;58;0;0.48;A92/2.10/2 08
71;PMA2/Ch06;A-side Outer ring;A-E4;-108.75;-74.25;3400;0;10;2135;PM;A2;6;103;64162;2;0;1106;2;FTA-E4-1;FTA-O;89;5;11;-8.88;0.23;23;OC-206;24;2;0.66;A89/5.11/2 06
72;PMA2/Ch11;A-side Outer ring;A-E5;-135.25;-108.8;3400;0;11;2160;PM;A2;11;203;64162;2;0;1106;1;FTA-E5-2;FTA-O;94;1;9;-7.61;0.23;24;OC-206;41;6;1.32;A94/1.9/2 11
73;PMA2/Ch09;A-side Outer ring;A-E5;-108.75;-108.8;3400;0;11;2160;PM;A2;9;163;64162;2;0;1106;1;FTA-E5-1;FTA-O;93;5;10;-7.61;0.23;24;OC-206;54;4;2.3;A93/5.10/2 09
74;PMA2/Ch12;A-side Outer ring;A-E5;-135.25;-135.3;3400;0;11;2160;PM;A2;12;223;64162;2;0;1106;1;FTA-E5-3;FTA-O;95;3;10;-7.61;0.23;24;OC-206;34;1;0.58;A95/3.10/2 12
75;PMA2/Ch10;A-side Outer ring;A-E5;-108.75;-135.3;3400;0;11;2160;PM;A2;10;183;64162;2;0;1106;1;FTA-E5-4;FTA-O;96;4;11;-7.61;0.23;24;OC-206;7;2;0.65;A96/4.11/2 10
76;PMA3/Ch06;A-side Outer ring;A-D5;-74.25;-108.8;3400;0;6;2171;PM;A3;6;104;64163;3;0;1106;3;FTA-D5-4;FTA-O;76;5;7;-7.07;0.22;19;OC-206;42;5;2.47;A76/5.7/3 06
77;PMA3/Ch08;A-side Outer ring;A-D5;-74.25;-135.3;3400;0;6;2171;PM;A3;8;144;64163;3;0;1106;3;FTA-D5-1;FTA-O;73;4;7;-7.07;0.22;19;OC-206;45;2;0.54;A73/4.7/3 08
78;PMA3/Ch05;A-side Outer ring;A-D5;-47.75;-108.8;3400;0;6;2171;PM;A3;5;84;64163;3;0;1106;3;FTA-D5-3;FTA-O;75;4;6;-7.07;0.22;19;OC-206;26;11;2.41;A75/4.6/3 05
79;PMA3/Ch07;A-side Outer ring;A-D5;-47.75;-135.3;3400;0;6;2171;PM;A3;7;124;64163;3;0;1106;3;FTA-D5-2;FTA-O;74;3;6;-7.07;0.22;19;OC-206;49;2;0.61;A74/3.6/3 07
80;PMA3/Ch10;A-side Outer ring;A-C5;-13.25;-121.8;3400;0;1;2153;PM;A3;10;184;64163;3;0;1106;3;FTA-C5-4;FTA-O;56;1;18;-4.05;0.2;14;OC-206;51;10;1.42;A56/1.18/3 10
81;PMA3/Ch12;A-side Outer ring;A-C5;-13.25;-148.3;3400;0;1;2153;PM;A3;12;224;64163;3;0;1106;3;FTA-C5-1;FTA-O;53;5;19;-4.05;0.2;14;OC-206;35;4;1;A53/5.19/3 12
82;PMA3/Ch11;A-side Outer ring;A-C5;13.25;-148.3;3400;0;1;2153;PM;A3;11;204;64163;3;0;1106;3;FTA-C5-2;FTA-O;54;1;20;-4.05;0.2;14;OC-206;33;3;0.69;A54/1.20/3 11
83;PMA3/Ch09;A-side Outer ring;A-C5;13.25;-121.8;3400;0;1;2153;PM;A3;9;164;64163;3;0;1106;3;FTA-C5-3;FTA-O;55;2;18;-4.05;0.2;14;OC-206;46;3;0.71;A55/2.18/3 09
84;PMA4/Ch07;A-side Outer ring;A-B5;47.75;-135.3;3400;1;9;2176;PM;A4;7;125;64164;4;0;1106;4;FTA-B5-2;FTA-I;38;2;16;-5.27;0.21;10;OC-205;1;0;0.84;A38/2.16/4 07
85;PMA4/Ch05;A-side Outer ring;A-B5;47.75;-108.8;3400;1;9;2176;PM;A4;5;85;64164;4;0;1106;4;FTA-B5-1;FTA-I;S01;2;9;-5.27;0.21;10;OC-205;37;6;1.91;AS01/2.9/4 05
86;PMA4/Ch08;A-side Outer ring;A-B5;74.25;-135.3;3400;1;9;2176;PM;A4;8;145;64164;4;0;1106;4;FTA-B5-3;FTA-I;39;3;15;-5.27;0.21;10;OC-205;20;0;0.74;A39/3.15/4 08
87;PMA4/Ch06;A-side Outer ring;A-B5;74.25;-108.8;3400;1;9;2176;PM;A4;6;105;64164;4;0;1106;4;FTA-B5-4;FTA-I;40;1;14;-5.27;0.21;10;OC-205;46;2;1.29;A40/1.14/4 06
88;PMA4/Ch11;A-side Outer ring;A-A5;108.75;-135.3;3400;1;4;2169;PM;A4;11;205;64164;4;0;1106;2;FTA-A5-4;FTA-I;20;5;14;-6.39;0.22;5;OC-205;51;3;0.96;A20/5.14/4 11
